ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
404149,4,2,5,3,56,-1,13,10,1,1,1,1,2,24,5,2,1
404150,5,4,5,3,24,-1,8,8,4,1,1,2,1,3,1,3,1
404151,3,2,3,3,36,2,12,-1,1,1,1,2,1,15,4,1,5
404154,4,0,5,1,68,2,9,-1,5,1,1,0,3,11,2,1,2
404158,2,1,1,7,55,-1,10,10,5,1,1,0,3,15,3,1,1
404163,4,1,2,7,62,-1,11,14,1,1,3,0,3,24,4,1,1
404168,7,3,4,4,33,-1,9,11,7,2,0,2,2,13,2,1,1
404169,2,0,2,6,26,2,16,-1,8,1,1,0,1,1,6,2,5
404174,7,1,4,7,45,-1,10,10,1,1,1,0,2,8,3,1,1
404176,0,3,5,3,37,-1,10,10,7,1,0,2,2,12,3,3,1
404182,7,1,2,5,60,-1,16,13,1,1,1,0,3,20,6,3,1
404184,3,4,2,5,18,2,8,-1,8,1,0,2,2,26,1,3,5
404189,7,1,3,4,64,-1,10,11,1,1,4,0,3,15,3,2,1
404191,4,3,2,7,25,2,10,-1,2,1,0,0,4,12,3,3,5
404192,7,0,2,4,78,-1,7,8,5,1,1,0,3,13,1,1,1
404200,7,1,2,6,72,-1,14,13,5,1,1,0,2,27,6,1,1
404201,5,0,3,6,54,2,10,-1,1,1,1,0,3,24,3,1,5
404207,3,5,2,4,32,-1,14,10,1,1,1,3,2,20,6,1,1
404220,7,1,2,5,63,-1,10,10,5,1,3,0,3,16,3,2,1
404221,3,3,2,6,34,-1,12,14,1,1,0,1,2,21,4,2,1
404224,7,1,1,6,72,-1,15,11,5,1,0,0,2,27,6,3,1
404225,7,3,1,5,37,-1,14,14,1,1,1,2,2,22,6,2,1
404229,2,4,2,7,32,1,6,95,2,1,0,3,1,17,1,3,5
404230,5,1,2,7,68,-1,10,7,1,1,1,0,3,16,3,1,1
404232,7,0,2,4,31,1,14,13,1,1,1,0,1,18,6,1,5
